,2016/5/9,2016/5/16,2016/5/23,2016/5/30,2016/6/6,2016/6/13,2016/6/20,2016/6/27,2016/7/4,2016/7/11,2016/7/18,2016/7/25,2016/8/1,2016/8/8,2016/8/15,2016/8/22,2016/8/29,2016/9/5,2016/9/12,2016/9/19,2016/9/26,2016/10/3,2016/10/10,2016/10/17,2016/10/24,2016/10/31,2016/11/7,2016/11/14,2016/11/21,2016/11/28,2016/12/5,2016/12/12,2016/12/19,2016/12/26,2017/1/2,2017/1/9,2017/1/16,2017/1/23,2017/1/30,2017/2/6,2017/2/13,2017/2/20,2017/2/27,2017/3/6,2017/3/13,2017/3/20,2017/3/27,2017/4/3,2017/4/10,2017/4/17,2017/4/24,2017/5/1,2017/5/8,2017/5/15,2017/5/22,2017/5/29,2017/6/5,2017/6/12,2017/6/19,2017/6/26,2017/7/3,2017/7/10,2017/7/17,2017/7/24,2017/7/31,2017/8/7,2017/8/14,2017/8/21,2017/8/28,2017/9/4,2017/9/11,2017/9/18,2017/9/25,2017/10/2,2017/10/9,2017/10/16,2017/10/23,2017/10/30,2017/11/6,2017/11/13,2017/11/20,2017/11/27,2017/12/4,2017/12/11,2017/12/18,2017/12/25,2018/1/1,2018/1/8,2018/1/15,2018/1/22,2018/1/29,2018/2/5,2018/2/12,2018/2/19,2018/2/26,2018/3/5,2018/3/12,2018/3/19,2018/3/26,2018/4/2,2018/4/9,2018/4/16,2018/4/23,2018/4/30,2018/5/7,2018/5/14,2018/5/21,2018/5/28,2018/6/4,2018/6/11,2018/6/18,2018/6/25,2018/7/2,2018/7/9,2018/7/16,2018/7/23,2018/7/30,2018/8/6,2018/8/13,2018/8/20,2018/8/27,2018/9/3,2018/9/10,2018/9/17,2018/9/24,2018/10/1,2018/10/8,2018/10/15,2018/10/22,2018/10/29,2018/11/5,2018/11/12,2018/11/19,2018/11/26,2018/12/3,2018/12/10,2018/12/17,2018/12/24,2018/12/31,2019/1/7,2019/1/14,2019/1/21,2019/1/28,2019/2/4,2019/2/11,2019/2/18,2019/2/25,2019/3/4,2019/3/11,2019/3/18,2019/3/25,2019/4/1,2019/4/8,2019/4/15,2019/4/22,2019/4/29,2019/5/6,2019/5/13
XLV,65.975563,66.500404,67.922188,68.981384,68.494736,66.853439,66.404236,69.13475,70.600601,70.974258,71.8461,72.047295,72.0952,71.64489,71.242516,70.006584,69.60421,68.511993,69.086845,70.315636,69.353851,69.123016,66.95903,67.045578,65.189346,63.939037,67.795761,67.035965,66.824371,65.795273,66.218452,66.920547,67.098595,66.596298,68.537956,68.50898,67.465683,67.378746,68.991974,69.417023,71.15583,72.23774,73.223076,73.39695,72.604843,72.02459,72.092461,72.14093,71.724037,71.433182,73.197693,73.653358,72.984398,72.742027,73.575798,75.059143,75.15609,75.3209,78.325935,77.1287,77.109245,77.994995,78.832077,77.829521,77.36232,76.50576,75.921745,76.846428,79.065704,80.34079,80.389442,79.698669,79.845215,80.978455,80.519302,81.945625,80.245766,79.727974,79.327423,79.366516,79.884285,81.379013,81.095688,81.779549,81.3218,81.096199,83.616982,85.156891,86.745865,89.786491,85.225555,80.527313,83.773911,83.695442,82.037819,84.852837,83.754295,78.418396,80.121223,78.625107,80.583847,80.800377,82.227615,79.727509,81.725624,81.892944,81.637039,82.05043,83.704048,84.117447,83.905479,82.453209,84.97245,86.345688,85.713409,86.898926,88.726608,88.548775,89.991165,90.781517,91.660782,91.433563,92.401733,93.132805,94.368645,93.515701,90.322151,90.758537,86.702118,88.527008,92.186707,91.28418,88.903885,95.082733,89.816338,88.229477,82.001045,84.933708,85.641075,87.484207,89.745789,88.590088,90.413307,89.606308,92.505508,92.206627,92.605141,89.068314,91.648705,90.620003,91.75,92,89.809998,85.919998,89.010002,90.160004,88.910004,87.239998
IYH,137.062698,138.230927,141.45784,143.545258,142.262177,139.34166,137.541489,143.506271,146.446136,147.224335,149.145813,149.95282,149.962448,148.838348,147.935287,145.591049,144.880157,142.78569,144.985825,147.003372,144.313278,144.297791,139.430679,139.768036,136.067078,133.561234,141.888351,140.751068,140.298111,137.734436,138.630737,140.924545,140.230637,139.401352,143.434509,143.598969,141.403412,141.355072,144.836945,145.59137,149.082901,151.384827,153.628723,153.889862,152.767914,150.320923,151.021362,150.943771,150.439423,150.070831,153.834244,154.678116,153.087387,152.369614,153.931229,156.996277,157.510361,158.363922,164.241821,161.264069,161.709,163.323471,165.142181,162.924713,162.243912,160.191818,159.053879,160.930954,166.085571,168.341904,169.003281,167.252655,167.14566,170.189728,169.019379,171.828217,168.512192,167.878265,166.854172,167.010269,168.122086,171.233307,170.501801,172.247589,170.316498,170.448135,175.66246,178.558212,181.698517,188.595535,179.634338,169.391586,176.611435,176.161407,172.913452,179.301712,177.57991,165.449081,169.336029,165.735626,170.081604,170.62117,173.525024,168.717957,173.27977,173.907639,173.485779,174.398132,177.978912,179.627045,178.59697,174.800354,180.799408,183.849472,182.590088,184.685791,188.542633,188.247467,191.277832,192.861908,195.046127,194.268845,196.335022,198.302811,199.631042,197.806473,191.079453,191.493713,183.070145,187.489059,194.23584,192.075684,186.966293,197.964294,188.554352,185.26973,171.559204,176.380936,179.350662,184.357285,189.124542,186.800751,190.710297,188.705658,194.99884,194.290726,195.776764,187.927734,194.450302,190.889816,193.779999,194.509995,189.75,181,187.860001,189.869995,187.029999,183.559998
IBB,84.121834,87.527786,91.506943,93.35569,88.660896,84.940201,82.511635,87.108559,89.886742,90.350883,93.125755,95.957008,98.559471,96.978088,96.245422,94.531425,93.02961,92.373184,96.683037,98.854538,95.963615,94.213814,88.237991,88.798439,86.384224,83.469276,95.507133,94.419426,94.333206,89.690491,89.428513,90.340469,90.307312,88.036087,92.972321,92.889397,90.703247,90.922203,93.897873,94.335762,97.646492,96.17025,100.346817,99.719833,97.955002,96.223351,97.388985,96.475754,96.499001,95.469559,98.840157,98.252388,97.256157,96.452515,95.711975,98.225815,97.667923,97.209648,106.511208,102.971237,103.819061,105.1315,107.945778,106.929039,104.855728,101.808861,101.028046,103.350578,111.587379,111.009247,110.251678,109.627029,110.83979,113.169724,111.806953,110.284637,105.072884,105.322174,103.763283,103.440872,103.912857,105.398613,105.767555,106.296043,106.635086,106.590477,109.64534,111.791725,111.811684,117.84153,111.951447,105.492325,110.174438,110.493904,109.465637,114.167725,112.550438,105.112968,106.560532,100.86013,105.781845,104.783524,105.432434,102.17791,106.400803,107.618752,107.37915,109.655312,109.924866,111.072937,112.041306,109.635353,116.17907,118.318504,118.228531,115.379288,117.138817,116.698936,116.259048,117.368759,122.157486,117.708664,117.738655,118.518456,121.907547,116.529999,111.25,111.220001,103.610001,108.099998,107.730003,105.050003,103.209999,109.099998,103.639999,101.93,90.860001,94.839996,102.550003,109.010002,110.470001,109.440002,110.269997,107.800003,112.040001,110.709999,115.110001,108.610001,114.199997,108.169998,111.800003,114.93,111.050003,104.540001,107.400002,107.910004,105,101.32
IXJ,46.562649,46.851982,47.862251,48.549995,47.819561,46.828262,45.965023,48.669426,49.277386,49.497581,50.01458,50.387966,50.191696,49.890121,49.502377,48.592846,48.444439,47.740757,48.176373,48.999737,48.224239,48.027973,46.539223,46.505707,45.227581,44.327625,46.572723,45.75415,45.481285,44.835049,45.203648,45.806801,45.495655,45.738842,47.050907,46.91584,46.322514,46.394871,47.369267,47.759998,48.830872,49.361485,50.036812,50.07058,49.993393,49.530315,49.583378,49.559254,49.356655,49.183002,50.567421,51.233101,51.122154,51.165565,51.464642,52.622337,52.115845,52.549984,53.746277,53.226261,52.900139,53.49884,53.912582,53.201923,52.948814,52.345245,52.106731,52.724907,54.005062,54.832539,55.061317,54.676785,54.740059,55.333897,55.178135,55.75737,54.360394,54.258179,53.771423,53.927185,54.545357,55.18787,54.725452,55.416637,54.79847,55.090267,56.828362,57.489326,58.15519,60.250694,57.200462,54.115955,56.412201,56.343655,55.129436,56.950764,56.500332,53.229771,54.512531,53.792816,54.869946,54.77692,55.477055,54.3069,55.452576,55.667999,55.374237,55.648418,56.304485,56.705963,56.157604,55.769634,57.202412,58.269588,58.160892,58.852581,59.692486,59.237946,59.90987,60.542271,60.917759,60.285355,61.105499,61.886116,62.231956,61.698368,59.514618,60.127254,57.222176,58.526501,60.690487,60.018566,58.714241,61.658848,58.961269,58.111488,54.356617,55.818535,56.790001,58.02,59.119999,58.41,59.639999,59.27,60.990002,60.779999,61.330002,59.610001,61.349998,60.389999,61.099998,61.259998,59.779999,57.439999,59.32,60.099998,59.290001,58.220001
VHT,120.027885,121.280975,124.064529,125.987221,124.944534,122.247093,120.66877,126.024315,128.663651,129.565811,131.197372,132.022751,132.185898,131.264587,130.400787,128.404526,127.799866,126.005135,127.97261,129.335464,128.020401,127.423119,123.087997,123.357742,119.407982,117.076653,124.841301,123.897224,123.781616,121.228714,122.317307,123.396271,123.715782,122.622742,126.279091,126.72403,124.799156,124.615356,127.749336,128.513489,131.850647,133.582077,135.710129,135.652069,134.868561,132.885666,133.742126,133.451019,132.897888,132.470901,135.983795,136.663086,135.527679,134.94545,136.488403,139.438477,139.564621,140.350632,145.95961,143.009567,143.627563,145.097824,146.59729,144.649918,143.530212,141.777588,140.794174,142.478638,147.162018,149.080185,149.771515,148.203888,148.272049,151.044601,149.84288,152.324463,149.13942,148.631393,147.615295,147.879089,149.012436,151.718704,151.064117,151.992294,151.575714,151.144272,155.801941,158.694611,161.322525,167.372604,159.243713,150.340225,156.900177,156.782516,154.076157,159.832077,157.919952,148.176361,150.908905,147.645599,151.882004,152.481598,154.545715,150.663162,154.94873,155.577805,155.322235,156.285522,159.391571,161.160843,160.305695,156.423141,162.117325,164.692963,163.607437,164.92981,168.285034,168.048203,170.66333,172.429749,174.729065,173.821198,175.479065,176.781693,178.034988,175.94809,169.67131,170.255432,162.711411,166.701218,172.413681,170.403931,165.948776,175.631271,167.344727,163.602417,152.019012,157.245621,158.795715,163.595062,167.788269,165.969894,169.29863,167.758469,173.491852,172.875778,174.465622,167.281525,173.193756,169.378128,172.479996,173.380005,169.270004,161.470001,167.630005,169.610001,167.059998,163.639999
PJP,58.471058,60.771305,62.535469,63.305489,62.19434,60.966248,59.848316,62.653553,63.97308,64.725716,65.478333,66.211403,66.592628,64.833237,64.540001,63.425728,62.291897,62.516716,61.949806,63.000778,60.347591,59.89724,57.684624,57.488827,55.863628,53.435623,57.880428,56.891609,56.294399,54.277592,54.395077,55.423061,55.527901,55.056248,57.090271,55.930782,54.299633,54.083458,57.011665,57.640541,59.763,59.920227,59.281521,59.153778,58.082726,57.538448,57.774422,58.718323,58.91497,58.118553,59.632721,58.964134,59.544239,57.705601,57.656441,58.747822,58.806816,58.157887,62.816544,61.880009,61.801147,62.964417,63.792507,62.25462,61.012489,59.316868,59.307014,60.204113,62.875687,64.078392,64.502304,63.891087,64.544769,66.154686,65.216385,65.147255,62.016315,62.05582,62.332371,61.394073,61.907661,62.924973,62.934853,64.110199,63.517574,63.478077,65.852188,67.207428,67.91967,70.0168,66.554543,62.58778,66.010475,65.35759,63.04282,65.397163,64.882767,60.639023,61.779907,60.077,61.869015,61.869015,61.997723,60.116604,63.057091,64.383766,63.977848,64.760002,67.373764,68.076714,67.492569,66.653587,69.380821,69.92627,69.410576,69.132889,70.868408,71.483276,72.355988,72.524574,73.268364,71.850204,71.592369,72.415482,72.901436,71.182076,68.200424,68.588036,65.556686,67.166779,68.786812,68.3992,67.216469,69.860207,66.103325,64.692001,59.166,61.143833,63.950001,65.860001,66.540001,65.25,65.790001,65.239998,67.410004,66.360001,69.160004,65.150002,66.25,64.190002,65.169998,65.959999,64.010002,61.049999,63.02,63.66,62.630001,60.639999
PBE,37.002304,38.09148,39.745041,40.388653,38.319214,36.645844,35.487354,37.507286,38.943024,38.725182,39.457897,40.794617,42.547207,41.477829,40.923344,40.566883,39.962883,40.01239,41.982811,42.972122,41.565155,40.950844,38.255795,38.483681,37.255054,36.333588,42.684788,42.724415,42.853226,39.474506,40.118542,40.84185,40.22644,38.566898,41.001549,40.852493,39.471199,39.828949,41.418926,41.766727,43.187771,42.124474,43.625019,43.615078,42.502098,41.522457,42.079674,41.243855,42.199078,41.134399,42.885647,42.537388,42.875694,42.875694,42.23888,43.194103,43.243855,42.985149,46.988384,45.668427,46.298405,46.498398,47.448364,46.868385,46.498398,45.718426,45.258438,46.478397,49.278301,49.06831,49.578293,49.098309,49.92828,50.528259,49.558292,48.708321,46.898384,46.568394,45.298439,44.69846,44.748459,45.978416,45.998417,46.3484,47.128376,47.158375,49.178307,50.078278,50.438259,53.208164,51.498226,48.908314,51.868214,52.168201,51.388229,53.868141,51.93821,49.238304,49.218304,46.878387,48.778316,48.66832,49.018311,48.328339,50.438259,51.108238,50.648258,52.048206,53.478157,54.288132,55.678082,54.708115,58.107998,59.137962,59.517948,56.728046,57.47802,58.277992,57.728012,58.457985,60.027931,57.958004,58.127998,58.028,59.447952,55.939999,53.669998,53.57,50.919998,53.459999,51.869999,51.139999,50.59,53,49.810001,48.799999,43.880001,46.220001,48.82,52.060001,53.23,52.279999,52.610001,50.509998,52.830002,52.34,56.169998,53.169998,55.689999,53.630001,55.189999,56.259998,54.330002,51.759998,53,52.560001,50.130001,48.459999
XBI,50.115738,53.732338,56.474586,57.726486,55.312111,53.026897,51.589733,55.497746,57.267784,56.81036,58.968216,61.722725,63.830864,62.170212,61.503952,60.758144,59.813465,60.90731,64.347954,67.791122,65.950607,63.821552,59.255054,59.424191,56.548992,54.589073,65.871002,65.642204,66.060036,61.493538,61.583076,61.632816,61.232769,58.904076,63.043968,64.686012,62.844944,63.113628,65.66127,66.427551,69.114494,66.915176,71.005341,71.154594,70.676918,68.407188,69.024353,67.01355,68.158325,67.670563,71.114799,69.830681,69.71122,68.825264,68.407188,70.776352,71.025215,71.274071,80.067513,76.946968,78.023705,78.831253,80.526123,79.499237,77.993813,75.541222,74.723701,77.575058,84.36451,83.566917,83.407402,83.693878,86.347015,88.092522,86.43679,85.399475,83.584167,85.379524,82.556808,81.220261,81.748901,83.205139,83.713821,81.609253,84.408455,84.687859,86.853195,89.427658,88.729149,95.983559,91.69278,86.833229,92.271545,92.341393,91.762634,96.242996,93.369179,88.465355,87.59668,82.774017,89.443863,88.794846,88.285622,87.237228,91.510727,93.427803,92.858665,96.50312,96.153648,97.03231,98.988258,95.101868,100.157173,100.466888,100.037277,94.882065,94.622307,94.862076,93.902969,96.310745,100.047272,96.32074,95.741272,95.451538,95.853249,90.434189,86.084953,85.405067,80.405945,83.945328,80.765884,79.506096,78.076347,81.635735,78.176338,76.776581,65.728508,70.089996,75.019997,82,83.379997,82.370003,83.989998,82.68,86.589996,85.739998,91.809998,86.459999,91.269997,87.860001,90.540001,93.800003,89.900002,84.629997,87.239998,86.209999,83.919998,80.410004
IHI,127.691109,127.720757,130.034164,131.250168,132.436539,129.628784,129.470627,134.84697,138.519012,138.914948,139.25145,142.428604,143.170959,143.428329,142.883926,141.824844,142.468216,138.469528,141.250809,144.071655,143.903397,143.818619,139.776062,140.152557,134.227432,132.830338,133.682465,134.346313,133.216751,129.213837,132.770874,132.731308,132.36467,132.300751,135.251816,139.375351,137.67627,139.633698,142.713913,143.538605,147.046112,149.232071,150.235626,150.543655,150.68277,150.235626,150.580322,149.675369,148.521805,150.828934,156.86528,157.412216,155.970245,156.059769,159.699478,163.488327,162.742493,163.587799,166.869507,165.686111,165.968475,168.147018,167.530273,164.595703,162.407166,161.143829,161.87001,161.452194,165.162689,168.544952,168.117188,166.296753,166.157501,170.062271,168.5186,172.093948,172.940475,172.611832,171.267303,173.617676,176.396255,175.938171,173.468277,174.593674,173.428467,173.067764,179.700821,183.072189,186.144333,193.186356,187.620575,174.952942,183.720551,184.139481,181.406464,191.630325,190.024429,180.618469,184.557068,180.586823,185.704269,189.893982,190.332901,191.859161,196.607498,197.136185,197.894348,200.088943,204.178909,205.82489,203.929535,200.158783,204.291702,206.238007,207.745132,207.206161,209.761322,208.523651,209.731369,214.432434,219.432938,216.957626,222.616867,221.988068,227.048447,217.896912,210.637344,207.701569,201.470505,208.410553,214.441879,211.046753,203.557526,216.259277,204.556091,203.917007,188.389313,196.839996,195.330002,203.309998,211.130005,211.25,214.380005,215.929993,223.889999,224.649994,230.309998,222.330002,230.649994,227.710007,231.529999,229.690002,228.580002,215,223.399994,227.520004,222.669998,218.059998
IHF,116.456833,117.585732,119.479958,121.948189,122.627441,120.45578,120.111374,121.716301,122.960861,123.698021,126.857231,123.037437,121.850334,120.893005,119.533569,116.786003,118.413506,117.063644,117.819931,118.930458,118.729401,116.747322,115.003952,117.551949,111.258606,109.726013,114.323868,118.653511,121.057816,121.699593,122.197701,121.450546,121.814529,120.102936,122.595482,125.519447,124.599113,124.589523,125.864578,126.0467,126.727394,129.938919,131.539932,129.862274,129.306229,126.698616,128.598831,128.550842,128.522064,129.625031,131.81163,134.775085,135.225876,133.681778,135.235413,137.335754,138.477005,139.608704,142.994156,142.48584,142.312103,143.367615,144.259995,140.795975,139.155151,138.013275,137.12088,138.876877,141.995438,141.419724,141.899506,139.212723,141.765137,142.412384,136.258499,142.729202,144.735672,143.430023,140.933929,140.933929,143.247635,149.459076,149.50708,150.006302,150.803146,150.664215,154.938965,157.542282,161.03894,165.035141,157.10997,151.922623,156.014893,155.61142,155.928436,159.069656,157.061951,150.068619,151.792633,152.648193,154.032486,157.868195,159.598572,159.165955,162.184525,165.183853,166.231674,165.193436,169.663605,174.624008,175.248871,168.846481,173.329941,176.859634,174.907272,176.32106,180.062332,181.774277,185.832932,187.467941,189.429947,189.429947,189.622314,190.305176,192.209457,190.228683,183.752365,186.119644,178.883087,184.830154,192.711426,187.187805,182.684204,192.470856,181.529434,176.102036,158.693924,157.486176,163.423706,169.989044,176.074707,177.433746,179.961945,177.593643,185.368103,183.209641,177.093994,165.712097,172.227463,170.45871,167.889999,171.740005,161.029999,154,164.990005,164.729996,166.979996,164.160004
IHE,130.316528,136.620468,140.317856,143.030579,140.897079,136.379105,134.197342,141.286102,144.343857,146.16304,148.301529,150.604538,151.117386,149.965912,149.249832,145.030899,143.163315,142.67955,148.378922,151.165771,144.605103,144.791458,138.498718,139.031998,134.09671,128.046341,143.637619,140.496078,140.38945,134.251862,134.668747,137.965424,138.304749,137.44841,142.337143,140.889008,136.437607,135.3685,141.715134,144.523956,148.907303,149.111389,150.55954,149.266937,147.410568,145.719437,147.052231,148.474609,147.169128,144.499725,149.32222,146.769684,147.851105,144.772507,146.516403,148.679214,147.929047,147.471176,155.596329,151.134338,151.636124,153.282303,155.144089,152.469025,148.912079,145.16893,144.59079,146.913116,152.028061,153.782043,153.644867,152.664978,153.21373,157.37085,155.149963,155.936111,149.224228,149.784363,148.15303,147.99585,148.467514,151.189636,150.845673,153.164871,151.877533,152.073242,154.870804,158.02298,158.387451,162.948288,152.713531,144.557251,152.900696,151.403397,148.211823,151.797424,151.166992,142.222656,145.848862,141.825516,146.244278,145.581955,145.077805,140.303162,145.651154,147.9841,146.619919,148.804581,152.897141,154.103149,152.926788,149.625061,155.57991,157.721985,156.274094,157.345154,161.728516,163.483856,166.230881,166.330078,168.144897,166.885422,165.794525,167.797806,166.468903,163.372681,157.110153,159.346756,150.688538,154.515671,155.728409,153.3228,152.110046,156.632996,152.22934,147.298828,133.262802,138.531387,141.869385,145.82515,146.95108,144.290665,147.359619,145.775314,151.694016,151.335312,156.715942,150.239243,152.570847,151.933151,153.979996,154.520004,150.020004,145.449997,149.309998,152.029999,149.229996,145.559998
XPH,38.64328,40.633785,42.241894,43.349903,42.614494,41.04562,40.197937,41.680927,42.613934,43.438919,44.479954,45.147797,46.169189,46.34597,45.953125,44.234436,43.566593,43.330883,45.452248,46.131229,43.456375,43.367878,41.489582,41.607597,39.807972,36.818439,40.958553,40.181667,40.004654,38.273872,38.126366,39.208099,39.437176,38.530357,40.21587,39.111908,37.820656,37.485527,39.644173,40.206017,41.566254,41.645111,41.645111,41.004417,40.541149,40.478596,41.257786,42.115883,41.632584,40.922436,42.470966,41.839722,42.106018,40.61668,41.178883,41.750954,41.287384,40.695583,43.408665,42.52903,42.538918,43.260414,43.804012,42.884838,40.908115,39.811043,39.89011,40.621502,42.420307,42.776115,42.222637,41.946716,42.124924,43.233734,42.649632,42.748631,40.412205,40.639908,40.897316,41.481419,42.164524,42.649632,42.600124,43.263435,43.222511,43.17289,44.026424,45.396053,45.038757,46.4977,43.857704,41.048985,43.182812,42.934692,42.210182,43.421013,43.133186,40.858547,41.573444,40.332298,41.364937,41.384792,40.669891,39.041508,40.997559,42.02026,41.752174,42.447216,43.459991,44.284111,43.696793,42.762207,44.134258,45.108616,44.810337,45.426769,46.689453,47.61409,48.628216,48.568562,49.672165,48.737587,48.101273,48.409481,48.280235,45.766792,44.134399,45.079994,42.701077,44.164257,43.875607,43.188805,42.531864,43.447601,40.939285,39.69508,35.016872,36.261074,37.498825,39.545486,40.174461,39.745159,40.314232,40.214394,41.63208,41.332569,43.339294,40.893284,41.681999,41.132896,41.580002,42.259998,40.57,38.889999,40.18,40.91,40.549999,38.860001
